Provider,EventID,Level,Channel,TimeCreated,Computer
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-26T15:55:51.8227970Z,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-26 18:33:28.444543+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-Security-Auditing,4624,0,Security,2025-04-26 18:34:24.563471+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-Security-Auditing,4672,0,Security,2025-04-26 18:34:24.563485+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-Security-Auditing,4624,0,Security,2025-04-26 18:34:24.662752+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-Security-Auditing,4672,0,Security,2025-04-26 18:34:24.662756+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:16.866549+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:40.893076+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-Security-Auditing,4624,0,Security,2025-04-29 11:26:48.514263+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-Security-Auditing,4672,0,Security,2025-04-29 11:26:48.514283+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:54.338027+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:54.411073+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:54.426136+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:54.439524+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:54.452659+02:00,DESKTOP-AOEVUGH
Microsoft-Windows-PowerShell,4104,5,Microsoft-Windows-PowerShell/Operational,2025-04-29 11:26:54.468595+02:00,DESKTOP-AOEVUGH
