timestamp,ip_src,ip_dst,port_src,port_dst,transport_protocol,app_protocol,length
2025-03-25T20:34:18.666051,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.666074,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.667062,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.667178,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.667187,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.669675,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.683980,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684043,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.684082,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684204,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684214,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.684321,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684440,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684450,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.684559,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684678,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.684689,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.696451,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.696555,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.696555,20.189.173.28,192.168.1.129,443,46447,TCP,TLS,153
2025-03-25T20:34:18.696594,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.697157,192.168.1.129,20.189.173.28,46447,443,TCP,TLS,491
2025-03-25T20:34:18.701215,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.704041,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.704078,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.704138,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.704252,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.704259,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.708177,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.708296,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.708301,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.708415,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.708535,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.708541,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.708653,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.709812,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.709820,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.716030,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.716145,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.716153,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.716264,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
