Timestamp,PID,Nombre,Ruta,Usuario,Tiempo de creación,Proceso padre,Numero lecturas,Bytes leidos,Numero escrituras,Bytes escritos,Numero otras operaciones,Bytes otras operaciones
2025-03-24 11:33:48,4,System,,NT AUTHORITY\SYSTEM,2025-03-24 09:21:19,0 (System Idle Process),317,66738492,3216,486108676,103192,3880102
2025-03-24 11:33:48,172,Registry,Registry,NT AUTHORITY\SYSTEM,2025-03-24 09:21:13,N/A,4,16384,4059,157270016,318,3859
2025-03-24 11:33:48,632,smss.exe,C:\Windows\System32\smss.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:19,4 (System),22,16804,15,66032,556,13540
2025-03-24 11:33:48,680,csrss.exe,C:\Windows\System32\csrss.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,N/A,205095,5462360,0,0,17646,369170
2025-03-24 11:33:48,696,wininit.exe,C:\Windows\System32\wininit.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,N/A,3,17924,0,0,354,2858
2025-03-24 11:33:48,836,csrss.exe,C:\Windows\System32\csrss.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:29,N/A,537,424141,0,0,11051,270925
2025-03-24 11:33:48,960,services.exe,C:\Windows\System32\services.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,696 (wininit.exe),3,8308,1,160,7558,161880
2025-03-24 11:33:48,984,lsass.exe,C:\Windows\System32\lsass.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,696 (wininit.exe),1633,175456,907,242882,119214,9707539
2025-03-24 11:33:48,1084,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,960 (services.exe),59,180294,1,65536,62478,3852588
2025-03-24 11:33:48,1136,winlogon.exe,C:\Windows\System32\winlogon.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,N/A,4,18064,0,0,310,236966
2025-03-24 11:33:48,1156,fontdrvhost.exe,C:\Windows\System32\fontdrvhost.exe,Font Driver Host\UMFD-0,2025-03-24 09:21:31,696 (wininit.exe),0,0,0,0,30,744
2025-03-24 11:33:48,1220,fontdrvhost.exe,C:\Windows\System32\fontdrvhost.exe,Font Driver Host\UMFD-1,2025-03-24 09:21:31,1136 (winlogon.exe),0,0,0,0,129,3218
2025-03-24 11:33:48,1280,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\Servicio de red,2025-03-24 09:21:31,960 (services.exe),31,126976,0,0,7209,520940
2025-03-24 11:33:48,1332,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:31,960 (services.exe),0,0,0,0,103,396
2025-03-24 11:33:48,1400,dwm.exe,C:\Windows\System32\dwm.exe,Window Manager\DWM-1,2025-03-24 09:21:32,1136 (winlogon.exe),27,109658,0,0,2863,139208
2025-03-24 11:33:48,1612,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,28,110
2025-03-24 11:33:48,1620,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,240,15447
2025-03-24 11:33:48,1628,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,25,238
2025-03-24 11:33:48,1636,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,251,13460
2025-03-24 11:33:48,1644,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,543,46952
2025-03-24 11:33:48,1700,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 10:51:17,960 (services.exe),3,42720,0,0,152,16686
2025-03-24 11:33:48,1736,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,229,8600
2025-03-24 11:33:48,1744,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,67,302
2025-03-24 11:33:48,1852,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),31440,127122176,1102,36040872,5733,106286
2025-03-24 11:33:48,1904,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),28,9396,548,17191370,8960,2461078
2025-03-24 11:33:48,1932,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,103,4646
2025-03-24 11:33:48,1944,IntelCpHDCPSvc.exe,C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_6b10ae7f2f9034c5\IntelCpHDCPSvc.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),1,20,1,16,23,244
2025-03-24 11:33:48,1972,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),15,70,0,0,113,4262
2025-03-24 11:33:48,1988,python.exe,C:\Users\arman\AppData\Local\Programs\Python\Python312\python.exe,DESKTOP-AOEVUGH\arman,2025-03-24 11:33:48,13432 (powershell.exe),102,1241892,0,0,2238,209190
2025-03-24 11:33:48,1992,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),34,714,0,0,41,582
2025-03-24 11:33:48,2096,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),2,8192,0,0,51734,1649768
2025-03-24 11:33:48,2192,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),180,3620,0,0,118,2622
2025-03-24 11:33:48,2200,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,2569,98078
2025-03-24 11:33:48,2208,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DESKTOP-AOEVUGH\arman,2025-03-24 11:26:12,16688 (chrome.exe),59,63904,83,38528,162,15056
2025-03-24 11:33:48,2252,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,1306,109270
2025-03-24 11:33:48,2308,igfxCUIServiceN.exe,C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_8f68d4f94f46f7aa\igfxCUIServiceN.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),72,1448,0,0,177,2478
2025-03-24 11:33:48,2348,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,119,626
2025-03-24 11:33:48,2456,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,125,1628
2025-03-24 11:33:48,2468,WUDFHost.exe,C:\Windows\System32\WUDFHost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),1,1644,16,1646,372,4458
2025-03-24 11:33:48,2628,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\Servicio de red,2025-03-24 09:21:32,960 (services.exe),2,232,2,320,33048,2243103
2025-03-24 11:33:48,2636,ApplicationFrameHost.exe,C:\Windows\System32\ApplicationFrameHost.exe,DESKTOP-AOEVUGH\arman,2025-03-24 09:23:01,1084 (svchost.exe),130,67272,1,8,620,9366
2025-03-24 11:33:48,2644,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,216,412798
2025-03-24 11:33:48,2668,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,2596,123294
2025-03-24 11:33:48,2692,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,DESKTOP-AOEVUGH\arman,2025-03-24 09:51:40,1084 (svchost.exe),0,0,0,0,140,3082
2025-03-24 11:33:48,2740,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,48,142
2025-03-24 11:33:48,2748,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:22:05,960 (services.exe),374,833956,0,0,818,62762
2025-03-24 11:33:48,2764,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,20,7200,5845,151158
2025-03-24 11:33:48,2784,NVDisplay.Container.exe,C:\Windows\System32\DriverStore\FileRepository\nvmi.inf_amd64_ca70e03e74b1e469\Display.NvContainer\NVDisplay.Container.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),46,3677209,209,32165,2504,37390
2025-03-24 11:33:48,2896,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,24545,1985270
2025-03-24 11:33:48,2956,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\134.0.3124.83\msedgewebview2.exe,DESKTOP-AOEVUGH\arman,2025-03-24 09:22:39,13628 (msedgewebview2.exe),13,1636,6,72,76,1056
2025-03-24 11:33:48,2964,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,142,2054
2025-03-24 11:33:48,3024,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),3,313138,583,7193446,10481,153642
2025-03-24 11:33:48,3032,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,36,110
2025-03-24 11:33:48,3124,MemCompression,MemCompression,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,4 (System),0,0,0,0,0,0
2025-03-24 11:33:48,3164,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,186,2466
2025-03-24 11:33:48,3208,dasHost.exe,C:\Windows\System32\dasHost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,2964 (svchost.exe),0,0,0,0,42,110
2025-03-24 11:33:48,3308,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SERVICIO LOCAL,2025-03-24 09:21:32,960 (services.exe),0,0,0,0,17638,785562
2025-03-24 11:33:48,3316,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,2025-03-24 09:21:32,960 (services.exe),9481,38602408,80,201480,842,886
2025-03-24 11:33:48,3384,svchost.exe,C:\Windows\System32\svchost.exe,NT AUTHORITY\Servicio de red,2025-03-24 09:21:32,960 (services.exe),9,4314,0,0,48924,3580404
2025-03-24 11:33:48,3476,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,DESKTOP-AOEVUGH\arman,2025-03-24 11:25:58,16688 (chrome.exe),4769,1224992,7072,5361823,164,15056
