timestamp,service_name,load_state,active_state,sub_state,description,pid,memory_usage,cpu_percent
2025-03-25T13:19:24.712455,accounts-daemon.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712492,alsa-restore.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712501,alsa-state.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712507,anacron.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712511,apparmor.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712516,apport-autoreport.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712521,apport.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712525,apt-daily-upgrade.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712529,apt-daily.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712534,auditd.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712538,auto-cpufreq.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712542,avahi-daemon.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712546,cloud-config.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712550,cloud-init-local.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712554,cloud-init.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712559,colord.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712563,connman.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712569,console-screen.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712574,console-setup.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712578,cron.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712582,cups-browsed.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712587,cups.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712591,dbus.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712595,dmesg.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712600,dpkg-db-backup.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712605,e2scrub_all.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712609,e2scrub_reap.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712613,emergency.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712617,fstrim.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712621,fwupd-refresh.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712625,fwupd.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712631,gdm.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712635,getty-static.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712639,getty@tty1.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712643,gnome-remote-desktop.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712648,gpu-manager.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712652,grub-common.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712656,grub-initrd-fallback.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712661,hv_kvp_daemon.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712674,initrd-cleanup.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712679,initrd-parse-etc.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712684,initrd-switch-root.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712710,initrd-udevadm-cleanup-db.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712716,kbd.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
2025-03-25T13:19:24.712721,kerneloops.service,loaded,active,exited,Network Manager Wait Online,0,not set,0.00%
