timestamp,ip_src,ip_dst,port_src,port_dst,transport_protocol,app_protocol,length
2024-12-04T20:46:41.869884,192.168.0.31,192.168.0.1,51657,53,UDP,DNS,92
2024-12-04T20:46:41.877884,192.168.0.1,192.168.0.31,53,51657,UDP,DNS,222
2024-12-04T20:46:41.878596,192.168.0.31,40.79.141.153,26377,443,TCP,TCP,66
2024-12-04T20:46:41.879711,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,172
2024-12-04T20:46:41.879754,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,4345
2024-12-04T20:46:41.914150,40.79.141.153,192.168.0.31,443,26377,TCP,TCP,66
2024-12-04T20:46:41.914198,192.168.0.31,40.79.141.153,26377,443,TCP,TCP,54
2024-12-04T20:46:41.914487,192.168.0.31,40.79.141.153,26377,443,TCP,TLS,571
2024-12-04T20:46:41.953601,40.79.141.153,192.168.0.31,443,26377,TCP,TLS,153
2024-12-04T20:46:41.954315,192.168.0.31,40.79.141.153,26377,443,TCP,TLS,491
2024-12-04T20:46:42.003408,40.79.141.153,192.168.0.31,443,26377,TCP,TLS,1514
2024-12-04T20:46:42.004376,40.79.141.153,192.168.0.31,443,26377,TCP,TCP,1514
2024-12-04T20:46:42.004376,40.79.141.153,192.168.0.31,443,26377,TCP,TCP,1514
2024-12-04T20:46:42.004376,40.79.141.153,192.168.0.31,443,26377,TCP,TLS,207
2024-12-04T20:46:42.004500,192.168.0.31,40.79.141.153,26377,443,TCP,TCP,54
2024-12-04T20:46:42.005108,192.168.0.31,40.79.141.153,26377,443,TCP,TLS,5685
2024-12-04T20:46:42.039882,40.79.141.153,192.168.0.31,443,26377,TCP,TCP,54
2024-12-04T20:46:42.040197,40.79.141.153,192.168.0.31,443,26377,TCP,TCP,54
2024-12-04T20:46:42.045963,40.79.141.153,192.168.0.31,443,26377,TCP,TLS,157
2024-12-04T20:46:42.092768,40.79.141.153,192.168.0.31,443,26377,TCP,TLS,519
2024-12-04T20:46:42.092820,192.168.0.31,40.79.141.153,26377,443,TCP,TCP,54
2024-12-04T20:46:42.093183,192.168.0.31,40.79.141.153,26377,443,TCP,TLS,78
2024-12-04T20:46:42.093270,192.168.0.31,40.79.141.153,26377,443,TCP,TCP,54
2024-12-04T20:46:42.125402,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:42.125402,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:42.127611,40.79.141.153,192.168.0.31,443,26377,TCP,TCP,54
2024-12-04T20:46:42.162267,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:46:42.163036,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,89
2024-12-04T20:46:42.326200,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:42.326200,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:42.465912,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,89
2024-12-04T20:46:42.497173,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:42.711581,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,66
2024-12-04T20:46:43.348014,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:43.348014,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:44.372145,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:44.372145,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:44.588496,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,173
2024-12-04T20:46:44.588730,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,16460
2024-12-04T20:46:44.588865,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,5105
2024-12-04T20:46:44.834258,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:44.834258,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:44.834258,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:44.834258,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:44.904056,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:45.293526,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:45.805430,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:46.099183,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,156
2024-12-04T20:46:46.147825,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:46:46.319517,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:46.814065,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,173
2024-12-04T20:46:46.814142,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,14665
2024-12-04T20:46:46.831424,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:47.058389,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:47.058389,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:47.058389,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:47.343443,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:47.370731,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:46:47.371447,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,89
2024-12-04T20:46:47.679348,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,89
2024-12-04T20:46:47.700933,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:47.855405,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:47.923664,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,66
2024-12-04T20:46:48.367605,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:49.186680,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:49.241235,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,173
2024-12-04T20:46:49.241296,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,12582
2024-12-04T20:46:49.391664,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:49.486227,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:49.486227,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:49.486227,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:49.809002,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,175
2024-12-04T20:46:49.860213,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:46:50.210653,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:50.311065,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:51.234586,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:51.337192,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:51.547402,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,173
2024-12-04T20:46:51.547552,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,10499
2024-12-04T20:46:51.793709,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:51.793709,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:51.793709,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:52.355599,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:46:52.361094,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:52.410151,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:46:53.385230,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:53.653696,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,172
2024-12-04T20:46:53.653894,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,8416
2024-12-04T20:46:53.899692,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:53.899692,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:53.926113,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,89
2024-12-04T20:46:53.974754,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:46:54.113067,127.0.0.1,127.0.0.1,51641,51638,TCP,DATA,45
2024-12-04T20:46:54.113102,127.0.0.1,127.0.0.1,51638,51641,TCP,TCP,56
2024-12-04T20:46:54.219123,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:46:54.220837,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,89
2024-12-04T20:46:54.306802,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:54.531844,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,89
2024-12-04T20:46:54.701472,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:54.776520,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,66
2024-12-04T20:46:54.794092,127.0.0.1,127.0.0.1,51642,51636,TCP,DATA,45
2024-12-04T20:46:54.794129,127.0.0.1,127.0.0.1,51636,51642,TCP,TCP,56
2024-12-04T20:46:55.330881,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:55.760638,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,173
2024-12-04T20:46:55.760893,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,16460
2024-12-04T20:46:55.761033,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,373
2024-12-04T20:46:56.007546,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
